Timestamp,Class,Confidence
2026-02-19 21:18:02,Pothole,0.98
2026-02-19 21:18:02,Pothole,0.88
2026-02-19 21:18:02,Pothole,0.70
2026-02-19 21:18:02,Pothole,0.60
2026-02-19 21:18:03,Pothole,0.89
2026-02-19 21:18:03,Pothole,0.79
2026-02-19 21:18:04,Pothole,0.81
2026-02-19 21:18:04,Pothole,0.71
2026-02-19 21:18:05,Pothole,1.00
2026-02-19 21:18:05,Pothole,0.85
2026-02-19 21:18:05,Pothole,0.65
2026-02-19 21:18:06,Pothole,0.80
2026-02-19 21:18:06,Pothole,0.72
2026-02-19 21:18:07,Pothole,0.79
2026-02-19 21:18:07,Pothole,0.75
2026-02-19 21:18:08,Pothole,1.00
2026-02-19 21:18:08,Pothole,0.88
