Timestamp,Class,Confidence
22:28:37,Pothole,0.90
22:28:37,Pothole,0.73
22:28:37,Pothole,0.89
22:28:37,Pothole,0.62
22:28:37,Pothole,0.89
22:28:37,Pothole,0.64
22:28:37,Pothole,0.71
22:28:37,Pothole,0.57
22:28:38,Pothole,0.88
22:28:38,Pothole,0.82
22:28:38,Pothole,0.72
22:28:38,Pothole,0.68
22:28:38,Pothole,0.56
22:28:38,Pothole,0.54
22:28:38,Pothole,0.77
22:28:38,Pothole,0.56
22:28:38,Pothole,0.84
22:28:38,Pothole,0.76
22:28:38,Pothole,0.50
22:28:38,Pothole,0.79
22:28:38,Pothole,0.76
22:28:38,Pothole,0.66
22:28:38,Pothole,0.80
22:28:38,Pothole,0.81
22:28:38,Pothole,0.66
22:28:38,Pothole,0.62
22:28:38,Pothole,0.82
22:28:38,Pothole,0.55
22:28:38,Pothole,0.48
22:28:38,Pothole,0.70
22:28:38,Pothole,0.62
22:28:38,Pothole,0.67
22:28:39,Pothole,0.65
22:28:39,Pothole,0.64
22:28:39,Pothole,0.75
22:28:39,Pothole,0.62
22:28:39,Pothole,0.60
22:28:39,Pothole,0.54
22:28:39,Pothole,0.94
22:28:39,Pothole,0.71
22:28:39,Pothole,0.84
22:28:39,Pothole,0.54
22:28:39,Pothole,0.47
22:28:39,Pothole,0.83
22:28:39,Pothole,0.63
22:28:39,Pothole,0.61
22:28:39,Pothole,0.81
22:28:39,Pothole,0.76
22:28:39,Pothole,0.76
22:28:39,Pothole,0.79
22:28:39,Pothole,0.75
22:28:39,Pothole,0.53
22:28:39,Pothole,0.66
22:28:39,Pothole,0.63
22:28:39,Pothole,0.60
22:28:39,Pothole,0.72
22:28:39,Pothole,0.63
22:28:39,Pothole,0.60
22:28:39,Pothole,0.69
22:28:39,Pothole,0.60
22:28:40,Pothole,0.90
22:28:40,Pothole,0.80
22:28:40,Pothole,0.73
22:28:40,Pothole,0.73
22:28:40,Pothole,0.53
22:28:40,Pothole,0.78
22:28:40,Pothole,0.52
22:28:40,Pothole,0.46
22:28:40,Pothole,0.88
22:28:40,Pothole,0.81
22:28:40,Pothole,0.87
22:28:40,Pothole,0.79
22:28:40,Pothole,0.76
22:28:40,Pothole,0.87
22:28:40,Pothole,0.79
22:28:40,Pothole,0.73
22:28:40,Pothole,0.76
22:28:40,Pothole,0.52
22:28:40,Pothole,0.45
22:28:40,Pothole,0.72
22:28:40,Pothole,0.68
22:28:40,Pothole,0.52
22:28:40,Pothole,0.45
22:28:40,Pothole,0.68
22:28:40,Pothole,0.52
22:28:40,Pothole,0.71
22:28:40,Pothole,0.52
22:28:41,Pothole,0.69
22:28:41,Pothole,0.49
22:28:41,Pothole,0.84
22:28:41,Pothole,0.61
22:28:41,Pothole,0.69
22:28:41,Pothole,0.50
22:28:41,Pothole,0.90
22:28:41,Pothole,0.67
22:28:41,Pothole,1.00
22:28:41,Pothole,0.81
22:28:41,Pothole,0.65
22:28:41,Pothole,0.49
22:28:41,Pothole,0.81
22:28:41,Pothole,0.77
22:28:41,Pothole,0.73
22:28:41,Pothole,0.59
22:28:41,Pothole,0.74
22:28:41,Pothole,0.51
22:28:41,Pothole,0.70
22:28:41,Pothole,0.93
22:28:41,Pothole,0.71
22:28:41,Pothole,0.50
22:28:42,Pothole,0.71
22:28:42,Pothole,0.70
22:28:42,Pothole,0.92
22:28:42,Pothole,0.68
22:28:42,Pothole,0.49
22:28:42,Pothole,0.84
22:28:42,Pothole,0.71
22:28:42,Pothole,0.78
22:28:42,Pothole,0.62
22:28:42,Pothole,0.77
22:28:42,Pothole,0.60
22:28:42,Pothole,0.53
22:28:42,Pothole,0.48
22:28:42,Pothole,0.46
22:28:42,Pothole,0.89
22:28:42,Pothole,0.48
22:28:42,Pothole,0.88
22:28:42,Pothole,0.48
22:28:42,Pothole,0.99
22:28:42,Pothole,0.79
22:28:42,Pothole,0.72
22:28:42,Pothole,0.56
22:28:42,Pothole,0.75
22:28:42,Pothole,0.67
22:28:43,Pothole,0.85
22:28:43,Pothole,0.68
22:28:43,Pothole,0.91
22:28:43,Pothole,0.73
22:28:43,Pothole,0.74
22:28:43,Pothole,0.51
22:28:43,Pothole,0.84
22:28:43,Pothole,0.63
22:28:43,Pothole,0.82
22:28:43,Pothole,0.63
22:28:43,Pothole,0.74
22:28:43,Pothole,0.53
22:28:43,Pothole,0.94
22:28:43,Pothole,0.77
22:28:43,Pothole,0.73
22:28:43,Pothole,0.73
22:28:43,Pothole,0.83
22:28:43,Pothole,0.68
22:28:43,Pothole,0.46
22:28:43,Pothole,0.73
22:28:43,Pothole,0.73
22:28:43,Pothole,0.75
22:28:43,Pothole,0.72
22:28:44,Pothole,1.00
22:28:44,Pothole,0.69
22:28:44,Pothole,1.00
22:28:44,Pothole,0.76
22:28:44,Pothole,0.81
22:28:44,Pothole,0.71
22:28:44,Pothole,0.57
22:28:44,Pothole,0.78
22:28:44,Pothole,0.71
22:28:44,Pothole,0.80
22:28:44,Pothole,0.69
22:28:44,Pothole,0.71
22:28:44,Pothole,0.66
22:28:44,Pothole,0.57
22:28:44,Pothole,0.84
22:28:44,Pothole,0.73
22:28:44,Pothole,0.87
22:28:44,Pothole,0.83
22:28:44,Pothole,0.85
22:28:44,Pothole,0.83
22:28:44,Pothole,0.86
22:28:44,Pothole,0.82
22:28:45,Pothole,0.84
22:28:45,Pothole,0.78
22:28:45,Pothole,0.81
22:28:45,Pothole,0.73
22:28:45,Pothole,0.73
22:28:45,Pothole,0.47
22:28:45,Pothole,0.75
22:28:45,Pothole,0.68
22:28:45,Pothole,0.54
22:28:45,Pothole,0.69
22:28:45,Pothole,0.68
22:28:45,Pothole,0.54
22:28:45,Pothole,0.83
22:28:45,Pothole,0.81
22:28:45,Pothole,0.59
22:28:45,Pothole,0.76
22:28:45,Pothole,0.59
22:28:45,Pothole,0.77
22:28:45,Pothole,0.74
22:28:45,Pothole,0.62
22:28:45,Pothole,0.81
22:28:46,Pothole,0.74
22:28:46,Pothole,0.69
22:28:46,Pothole,0.80
22:28:46,Pothole,0.61
22:28:46,Pothole,0.82
22:28:46,Pothole,0.61
22:28:46,Pothole,0.81
22:28:46,Pothole,0.61
22:28:46,Pothole,0.81
22:28:46,Pothole,0.60
22:28:46,Pothole,0.76
22:28:46,Pothole,0.72
22:28:46,Pothole,0.71
22:28:46,Pothole,0.61
22:28:46,Pothole,0.75
22:28:46,Pothole,0.61
22:28:46,Pothole,0.73
22:28:46,Pothole,0.75
22:28:46,Pothole,0.61
22:28:47,Pothole,0.72
22:28:47,Pothole,0.59
22:28:47,Pothole,0.74
22:28:47,Pothole,0.59
22:28:47,Pothole,0.98
22:28:47,Pothole,0.66
22:28:47,Pothole,0.73
22:28:47,Pothole,0.70
22:28:47,Pothole,0.73
22:28:47,Pothole,0.56
22:28:47,Pothole,0.72
22:28:47,Pothole,0.72
22:28:47,Pothole,0.63
22:28:47,Pothole,0.70
22:28:47,Pothole,0.59
22:28:47,Pothole,0.94
22:28:47,Pothole,0.77
22:28:47,Pothole,0.77
22:28:47,Pothole,0.70
22:28:47,Pothole,0.65
22:28:47,Pothole,0.55
22:28:48,Pothole,0.61
22:28:48,Pothole,0.47
22:28:48,Pothole,0.61
22:28:48,Pothole,0.46
22:28:48,Pothole,0.69
22:28:48,Pothole,0.59
22:28:48,Pothole,0.69
22:28:48,Pothole,0.57
22:28:48,Pothole,0.69
22:28:48,Pothole,0.62
22:28:48,Pothole,0.61
22:28:48,Pothole,0.61
22:28:49,Pothole,0.60
22:28:49,Pothole,0.70
22:28:49,Pothole,0.46
22:28:49,Pothole,0.56
22:28:49,Pothole,0.60
22:28:49,Pothole,0.46
22:28:49,Pothole,0.86
22:28:50,Pothole,0.57
22:28:50,Pothole,0.56
22:28:50,Pothole,1.00
22:28:50,Pothole,0.84
22:28:50,Pothole,0.69
22:28:50,Pothole,0.46
22:28:50,Pothole,0.83
22:28:50,Pothole,0.75
22:28:50,Pothole,0.70
22:28:50,Pothole,0.75
22:28:50,Pothole,0.69
22:28:50,Pothole,0.81
22:28:50,Pothole,0.62
22:28:51,Pothole,0.80
22:28:51,Pothole,0.56
22:28:51,Pothole,0.54
22:28:51,Pothole,0.79
22:28:51,Pothole,0.78
22:28:51,Pothole,0.49
22:28:51,Pothole,0.69
22:28:51,Pothole,0.63
22:28:51,Pothole,0.69
22:28:51,Pothole,0.69
22:28:51,Pothole,0.77
22:28:51,Pothole,0.91
22:28:51,Pothole,0.68
22:28:51,Pothole,0.64
22:28:51,Pothole,0.61
22:28:52,Pothole,0.67
22:28:52,Pothole,0.89
22:28:52,Pothole,0.67
22:28:52,Pothole,0.72
22:28:52,Pothole,0.62
22:28:52,Pothole,0.88
22:28:52,Pothole,0.70
22:28:52,Pothole,0.87
22:28:52,Pothole,0.48
22:28:52,Pothole,0.60
22:28:52,Pothole,0.57
22:28:52,Pothole,0.86
22:28:52,Pothole,0.51
22:28:52,Pothole,0.60
22:28:52,Pothole,0.60
22:28:52,Pothole,0.58
22:28:53,Pothole,0.65
22:28:53,Pothole,0.59
22:28:53,Pothole,0.58
22:28:53,Pothole,0.61
22:28:53,Pothole,0.81
22:28:53,Pothole,0.68
22:28:53,Pothole,0.52
22:28:53,Pothole,0.63
22:28:53,Pothole,0.50
22:28:53,Pothole,0.81
22:28:53,Pothole,0.46
22:28:53,Pothole,0.80
22:28:53,Pothole,0.52
22:28:53,Pothole,0.80
22:28:53,Pothole,0.66
22:28:53,Pothole,0.58
22:28:53,Pothole,0.79
22:28:53,Pothole,0.51
22:28:53,Pothole,0.78
22:28:53,Pothole,0.75
22:28:53,Pothole,0.51
22:28:53,Pothole,0.78
22:28:53,Pothole,0.65
22:28:53,Pothole,0.51
22:28:54,Pothole,0.78
22:28:54,Pothole,0.65
22:28:54,Pothole,0.97
22:28:54,Pothole,0.62
22:28:54,Pothole,0.45
22:28:54,Pothole,0.95
22:28:54,Pothole,0.71
22:28:54,Pothole,0.94
22:28:54,Pothole,0.71
22:28:54,Pothole,0.77
22:28:54,Pothole,0.72
22:28:54,Pothole,0.76
22:28:54,Pothole,0.76
22:28:54,Pothole,0.52
22:28:54,Pothole,1.00
22:28:54,Pothole,0.76
22:28:54,Pothole,0.58
22:28:54,Pothole,0.92
22:28:54,Pothole,0.71
22:28:54,Pothole,0.75
22:28:54,Pothole,0.65
22:28:54,Pothole,0.91
22:28:55,Pothole,0.64
22:28:55,Pothole,0.69
22:28:55,Pothole,0.73
22:28:55,Pothole,0.50
22:28:55,Pothole,0.73
22:28:55,Pothole,0.59
22:28:55,Pothole,0.87
22:28:55,Pothole,0.57
22:28:55,Pothole,0.87
22:28:55,Pothole,0.94
22:28:55,Pothole,0.60
22:28:55,Pothole,0.94
22:28:55,Pothole,0.57
22:28:55,Pothole,0.95
22:28:55,Pothole,0.68
22:28:55,Pothole,0.56
22:28:55,Pothole,0.85
22:28:55,Pothole,0.56
22:28:55,Pothole,0.71
22:28:55,Pothole,1.00
22:28:56,Pothole,0.99
22:28:56,Pothole,0.98
22:28:56,Pothole,0.54
22:28:56,Pothole,0.89
22:28:56,Pothole,0.58
22:28:56,Pothole,0.69
22:28:56,Pothole,0.63
22:28:56,Pothole,0.57
22:28:56,Pothole,0.68
22:28:56,Pothole,0.53
22:28:56,Pothole,0.88
22:28:56,Pothole,0.55
22:28:56,Pothole,0.79
22:28:56,Pothole,0.87
22:28:56,Pothole,0.54
22:28:56,Pothole,0.53
22:28:57,Pothole,0.96
22:28:57,Pothole,0.95
22:28:57,Pothole,0.89
22:28:57,Pothole,0.85
22:28:57,Pothole,0.54
22:28:57,Pothole,0.49
22:28:57,Pothole,0.94
22:28:57,Pothole,0.59
22:28:57,Pothole,0.92
22:28:57,Pothole,0.92
22:28:57,Pothole,0.55
22:28:58,Pothole,0.91
22:28:58,Pothole,0.90
22:28:58,Pothole,0.55
22:28:58,Pothole,0.89
22:28:58,Pothole,0.52
22:28:58,Pothole,0.61
22:28:58,Pothole,0.61
22:28:58,Pothole,0.54
22:28:58,Pothole,0.86
22:28:58,Pothole,0.63
22:28:58,Pothole,0.63
22:28:58,Pothole,0.49
22:28:59,Pothole,0.63
22:28:59,Pothole,0.49
22:28:59,Pothole,0.63
22:28:59,Pothole,0.49
22:28:59,Pothole,0.84
22:28:59,Pothole,0.83
22:28:59,Pothole,0.83
22:28:59,Pothole,1.00
22:28:59,Pothole,0.48
22:28:59,Pothole,0.61
22:28:59,Pothole,0.80
22:28:59,Pothole,1.00
22:28:59,Pothole,0.59
22:28:59,Pothole,0.49
22:29:00,Pothole,0.47
22:29:00,Pothole,0.45
22:29:00,Pothole,0.47
22:29:00,Pothole,0.45
22:29:00,Pothole,0.60
22:29:00,Pothole,0.47
22:29:00,Pothole,0.46
22:29:00,Pothole,0.60
22:29:00,Pothole,0.60
22:29:00,Pothole,0.66
22:29:00,Pothole,0.76
22:29:00,Pothole,0.76
22:29:01,Pothole,0.86
22:29:01,Pothole,0.80
22:29:01,Pothole,0.68
22:29:01,Pothole,0.48
22:29:01,Pothole,0.47
22:29:01,Pothole,0.74
22:29:01,Pothole,0.58
22:29:01,Pothole,0.58
22:29:01,Pothole,0.85
22:29:01,Pothole,0.48
22:29:01,Pothole,0.64
22:29:01,Pothole,0.63
22:29:01,Pothole,0.63
22:29:01,Pothole,0.63
22:29:02,Pothole,0.86
22:29:02,Pothole,0.79
22:29:02,Pothole,0.70
22:29:02,Pothole,0.71
22:29:02,Pothole,0.71
22:29:02,Pothole,0.56
22:29:02,Pothole,0.88
22:29:02,Pothole,0.57
22:29:02,Pothole,0.51
22:29:02,Pothole,0.69
22:29:02,Pothole,1.00
22:29:02,Pothole,0.56
22:29:02,Pothole,0.68
22:29:02,Pothole,0.87
22:29:02,Pothole,0.55
22:29:03,Pothole,0.67
22:29:03,Pothole,0.93
22:29:03,Pothole,0.70
22:29:03,Pothole,0.92
22:29:03,Pothole,0.70
22:29:03,Pothole,1.00
22:29:03,Pothole,0.75
22:29:03,Pothole,0.75
22:29:03,Pothole,0.82
22:29:03,Pothole,0.82
22:29:03,Pothole,0.93
22:29:03,Pothole,0.61
22:29:03,Pothole,0.65
22:29:03,Pothole,0.46
22:29:03,Pothole,0.79
22:29:03,Pothole,0.63
22:29:04,Pothole,0.65
22:29:04,Pothole,0.62
22:29:04,Pothole,0.82
22:29:04,Pothole,0.66
22:29:04,Pothole,0.77
22:29:04,Pothole,0.63
