Timestamp,Class,Confidence
2026-02-15 18:18:33,Pothole,0.81
2026-02-15 18:18:33,Pothole,0.74
2026-02-15 18:18:34,Pothole,1.00
2026-02-15 18:18:34,Pothole,0.81
2026-02-15 18:18:34,Pothole,0.71
2026-02-15 18:18:35,Pothole,0.93
2026-02-15 18:18:35,Pothole,0.82
2026-02-15 18:18:36,Pothole,0.80
2026-02-15 18:18:37,Pothole,1.00
2026-02-15 18:18:37,Pothole,0.79
2026-02-15 18:18:37,Pothole,0.76
2026-02-15 18:18:38,Pothole,1.00
2026-02-15 18:18:38,Pothole,0.80
2026-02-15 18:18:39,Pothole,0.82
2026-02-15 18:18:39,Pothole,0.73
2026-02-15 18:18:40,Pothole,1.00
2026-02-15 18:18:41,Pothole,1.00
2026-02-15 18:18:41,Pothole,0.79
2026-02-15 18:18:42,Pothole,0.83
2026-02-15 18:18:43,Pothole,1.00
2026-02-15 18:18:44,Pothole,0.83
2026-02-15 18:18:45,Pothole,1.00
2026-02-15 18:18:46,Pothole,0.72
2026-02-15 18:18:46,Pothole,0.67
2026-02-15 18:18:47,Pothole,1.00
2026-02-15 18:18:47,Pothole,0.61
2026-02-15 18:18:48,Pothole,0.62
2026-02-15 18:18:50,Pothole,0.64
2026-02-15 18:18:50,Pothole,0.61
2026-02-15 18:18:51,Pothole,0.82
