Timestamp,Class,Confidence
2026-02-20 12:18:52,Pothole,0.98
2026-02-20 12:18:52,Pothole,0.88
2026-02-20 12:18:52,Pothole,0.70
2026-02-20 12:18:52,Pothole,0.60
2026-02-20 12:18:53,Pothole,0.82
2026-02-20 12:18:53,Pothole,0.70
2026-02-20 12:18:54,Pothole,0.97
2026-02-20 12:18:54,Pothole,0.85
2026-02-20 12:18:55,Pothole,0.72
2026-02-20 12:18:55,Pothole,0.67
2026-02-20 12:18:55,Pothole,0.64
2026-02-20 12:18:56,Pothole,1.00
2026-02-20 12:18:56,Pothole,1.00
2026-02-20 12:18:56,Pothole,0.93
2026-02-20 12:18:56,Pothole,0.77
2026-02-20 12:18:57,Pothole,0.73
2026-02-20 12:18:57,Pothole,0.70
2026-02-20 12:18:58,Pothole,0.64
2026-02-20 12:18:58,Pothole,0.60
2026-02-20 12:18:59,Pothole,0.84
2026-02-20 12:18:59,Pothole,0.51
