Timestamp,Class,Confidence
2026-02-19 22:39:03,Pothole,0.98
2026-02-19 22:39:03,Pothole,0.88
2026-02-19 22:39:03,Pothole,0.70
2026-02-19 22:39:03,Pothole,0.60
2026-02-19 22:39:04,Pothole,0.89
2026-02-19 22:39:04,Pothole,0.79
2026-02-19 22:39:05,Pothole,0.89
2026-02-19 22:39:05,Pothole,0.80
2026-02-19 22:39:05,Pothole,0.79
2026-02-19 22:39:05,Pothole,0.70
2026-02-19 22:39:06,Pothole,1.00
2026-02-19 22:39:06,Pothole,0.86
2026-02-19 22:39:06,Pothole,0.79
2026-02-19 22:39:06,Pothole,0.67
2026-02-19 22:39:07,Pothole,0.87
2026-02-19 22:39:07,Pothole,0.71
2026-02-19 22:39:08,Pothole,0.86
2026-02-19 22:39:08,Pothole,0.78
2026-02-19 22:39:08,Pothole,0.55
2026-02-19 22:39:09,Pothole,1.00
2026-02-19 22:39:09,Pothole,0.91
