Timestamp,Class,Confidence
2026-02-19 21:13:30,Pothole,0.98
2026-02-19 21:13:30,Pothole,0.88
2026-02-19 21:13:30,Pothole,0.70
2026-02-19 21:13:30,Pothole,0.60
2026-02-19 21:13:31,Pothole,0.83
2026-02-19 21:13:31,Pothole,0.75
2026-02-19 21:13:32,Pothole,0.97
2026-02-19 21:13:32,Pothole,0.85
2026-02-19 21:13:33,Pothole,0.98
2026-02-19 21:13:33,Pothole,0.81
2026-02-19 21:13:34,Pothole,0.91
2026-02-19 21:13:34,Pothole,0.77
2026-02-19 21:13:34,Pothole,0.62
2026-02-19 21:13:34,Pothole,0.60
2026-02-19 21:13:35,Pothole,0.66
2026-02-19 21:13:36,Pothole,0.99
2026-02-19 21:13:36,Pothole,0.86
